﻿#,"REDCap MLM"
#,"v13.10.5"
#,"2023-10-25 12:22:27"
#,"How to use this file: Any information above the column title row is purely informational and will be ignored during import. The column title row must remain intact, i.e. the row 'section,type,name,index,kind,text' (the delimiter can be either comma, as shown, or semicolon or tab) and be the first non-empty line that is not staring with # (denoting comments). The essential lines are those with 'translation' or 'value' in the 'kind' column. In these lines, the translation (or value) in the 'text' column can be edited. All other lines (except the 'hash' kind. see below) are ignored when the file is imported. Do not change the contents of the 'section', 'type', 'name', 'index', and 'kind' columns at all. Furthermore, subsets of this file can be created and used at will, as long as the rules layed out above are observed. The 'hash'-kind rows are not essential, but assist in tracking if a default value has changed since the file was created, and thus a translation may be out of date. During an import operation, a best-effort approach is taken. Any items that cannot be matched during import will be silently ignored. Thus, a cross-project import of field translations would only work for fields of the same name."
#,
section,type,name,index,kind,text
lang,info,key,,value,"es"
lang,info,display,,value,"Español"
lang,info,rtl,,value,0
lang,info,sort,,value,""
uiTranslations,,survey_1130,,translation,""
uiTranslations,,survey_1130,,hash,"60159a"
uiTranslations,,survey_1129,,translation,""
uiTranslations,,survey_1129,,hash,"afd9c7"
uiTranslations,,multilang_02,,translation,""
uiTranslations,,multilang_02,,hash,"789b14"
uiTranslations,,multilang_647,,translation,""
uiTranslations,,multilang_647,,hash,"d7982d"
uiTranslations,,data_entry_540,,translation,""
uiTranslations,,data_entry_540,,hash,"2a9fc8"
uiTranslations,,design_08,,translation,""
uiTranslations,,design_08,,hash,"049ac8"
uiTranslations,,survey_1347,,translation,""
uiTranslations,,survey_1347,,hash,"c10e74"
uiTranslations,,survey_1559,,translation,""
uiTranslations,,survey_1559,,hash,"5d2715"
uiTranslations,,data_entry_536,,translation,"&#x2714;"
uiTranslations,,data_entry_536,,hash,"50d9cd"
uiTranslations,,data_entry_537,,translation,"<<"
uiTranslations,,data_entry_537,,hash,"77fa60"
uiTranslations,,survey_200,,translation,""
uiTranslations,,survey_200,,hash,"2dacf6"
uiTranslations,,form_renderer_19,,translation,""
uiTranslations,,form_renderer_19,,hash,"9869e5"
uiTranslations,,form_renderer_20,,translation,""
uiTranslations,,form_renderer_20,,hash,"91ef0c"
uiTranslations,,data_entry_39,,translation,""
uiTranslations,,data_entry_39,,hash,"569a50"
uiTranslations,,form_renderer_66,,translation,""
uiTranslations,,form_renderer_66,,hash,"f0e255"
uiTranslations,,calendar_popup_01,,translation,""
uiTranslations,,calendar_popup_01,,hash,"bbfa77"
uiTranslations,,global_53,,translation,""
uiTranslations,,global_53,,hash,"77dfd2"
uiTranslations,,design_654,,translation,""
uiTranslations,,design_654,,hash,"04a212"
uiTranslations,,alerts_24,,translation,""
uiTranslations,,alerts_24,,hash,"b96968"
uiTranslations,,global_01,,translation,""
uiTranslations,,global_01,,hash,"0b99ce"
uiTranslations,,global_03,,translation,""
uiTranslations,,global_03,,hash,"fe7187"
uiTranslations,,global_64,,translation,""
uiTranslations,,global_64,,hash,"bf8e4d"
uiTranslations,,survey_1241,,translation,""
uiTranslations,,survey_1241,,hash,"844b01"
uiTranslations,,global_47,,translation,""
uiTranslations,,global_47,,hash,"175835"
uiTranslations,,scheduling_35,,translation,""
uiTranslations,,scheduling_35,,hash,"5b221e"
uiTranslations,,system_config_623,,translation,""
uiTranslations,,system_config_623,,hash,"1c05e1"
uiTranslations,,global_143,,translation,""
uiTranslations,,global_143,,hash,"b2bc0c"
uiTranslations,,global_144,,translation,""
uiTranslations,,global_144,,hash,"1b927d"
uiTranslations,,data_entry_203,,translation,""
uiTranslations,,data_entry_203,,hash,"98e2bd"
uiTranslations,,data_entry_602,,translation,""
uiTranslations,,data_entry_602,,hash,"cb4282"
uiTranslations,,docs_1101,,translation,""
uiTranslations,,docs_1101,,hash,"2bff24"
uiTranslations,,survey_1140,,translation,""
uiTranslations,,survey_1140,,hash,"0e7629"
uiTranslations,,form_renderer_22,,translation,""
